name,RT_C,RT_A,MC_C,MC_A,DB,gross,AV_C,AV_A,AV_DIFF,AV_OVR,year
Star Wars: Episode V - The Empire Strikes Back,95,97,82,9.2,8.7,209398025,8.85,9.200,-0.3500,9.0600,1980
9 to 5,69,74,58,7.2,6.9,103290500,6.35,7.167,-0.8167,6.8400,1980
Stir Crazy,69,75,56,7.4,6.7,101300000,6.25,7.200,-0.9500,6.8200,1980
Airplane!,97,89,78,7.8,7.7,83453539,8.75,8.133,0.6167,8.3800,1980
Any Which Way You Can,20,45,51,7.0,6.1,70687344,3.55,5.867,-2.3167,4.9400,1980
Private Benjamin,83,60,59,6.5,6.2,69847348,7.10,6.233,0.8667,6.5800,1980
Coal Miners Daughter,85,86,84,7.0,7.5,67182787,8.45,7.700,0.7500,8.0000,1980
Smokey and the Bandit II,25,43,41,6.7,5.3,66132626,3.30,5.433,-2.1333,4.5800,1980
The Blue Lagoon,12,53,31,7.1,5.8,58853106,2.15,6.067,-3.9167,4.5000,1980
The Blues Brothers,71,92,60,8.4,7.9,57229890,6.55,8.500,-1.9500,7.7200,1980
Raiders of the Lost Ark,93,96,86,8.9,8.4,212222025,8.95,8.967,-0.0167,8.9600,1981
On Golden Pond,91,87,68,7.1,7.6,119285432,7.95,7.800,0.1500,7.8600,1981
Superman II,83,76,83,7.3,6.8,108185706,8.30,7.233,1.0667,7.6600,1981
Arthur,86,77,69,7.3,6.9,95461682,7.75,7.300,0.4500,7.4800,1981
Stripes,88,79,68,7.1,6.8,85297000,7.80,7.267,0.5333,7.4800,1981
The Cannonball Run,29,61,28,7.6,6.2,72179579,2.85,6.633,-3.7833,5.1200,1981
Chariots of Fire,84,80,78,6.8,7.1,58972904,8.10,7.300,0.8000,7.6200,1981
For Your Eyes Only,69,64,54,6.5,6.7,54812802,6.15,6.533,-0.3833,6.3800,1981
The Four Seasons,76,75,55,6.6,6.8,50427646,6.55,7.150,-0.6000,6.8500,1981
Time Bandits,91,77,79,6.9,6.9,42365581,8.50,7.167,1.3333,7.7000,1981
E.T. the Extra-Terrestrial,99,72,92,8.2,7.9,359197037,9.55,7.767,1.7833,8.4800,1982
Tootsie,91,81,88,7.8,7.4,177200000,8.95,7.767,1.1833,8.2400,1982
An Officer and a Gentleman,79,81,75,7.3,7.1,129795554,7.70,7.500,0.2000,7.5800,1982
Rocky III,65,74,57,7.7,6.8,124146897,6.10,7.300,-1.2000,6.8200,1982
Porky’s,33,57,40,6.6,6.2,105492483,3.65,6.167,-2.5167,5.1600,1982
Star Trek II: The Wrath of Khan,86,90,68,8.5,7.7,78912963,7.70,8.400,-0.7000,8.1200,1982
48 Hrs.,92,69,71,7.0,6.9,78868508,8.15,6.933,1.2167,7.4200,1982
Star Wars: Episode VI - Return of the Jedi,82,94,58,8.4,8.3,252583617,7.00,8.700,-1.7000,8.0200,1983
Terms of Endearment,81,83,79,7.4,7.4,108423489,8.00,7.700,0.3000,7.8200,1983
Flashdance,37,61,39,6.7,6.2,92921203,3.80,6.333,-2.5333,5.3200,1983
Trading Places,89,85,69,7.8,7.5,90404800,7.90,7.933,-0.0333,7.9200,1983
WarGames,94,76,77,7.7,7.1,79567667,8.55,7.467,1.0833,7.9000,1983
Octopussy,42,47,63,6.3,6.5,67893619,5.25,5.833,-0.5833,5.6000,1983
Sudden Impact,51,54,52,6.4,6.6,67642693,5.15,6.133,-0.9833,5.7400,1983
Staying Alive,0,40,24,7.3,4.8,64892670,1.20,5.367,-4.1667,3.7000,1983
Mr. Mom,77,57,50,6.6,6.6,64783827,6.35,6.300,0.0500,6.3200,1983
Risky Business,93,73,75,6.9,6.8,63541777,8.40,7.000,1.4000,7.5600,1983
Beverly Hills Cop,82,82,66,7.8,7.4,234760478,7.40,7.800,-0.4000,7.6400,1984
Ghostbusters,95,88,71,8.3,7.8,229242989,8.30,8.300,0.0000,8.3000,1984
Indiana Jones and the Temple of Doom,77,82,57,7.7,7.5,179870271,6.70,7.800,-1.1000,7.3600,1984
Gremlins,86,78,70,7.3,7.3,148168459,7.80,7.467,0.3333,7.6000,1984
The Karate Kid,90,83,61,7.9,7.3,90815558,7.55,7.833,-0.2833,7.7200,1984
Police Academy,56,64,41,7.2,6.7,81198894,4.85,6.767,-1.9167,6.0000,1984
Footloose,55,71,42,7.4,6.6,80035402,4.85,7.033,-2.1833,6.1600,1984
